"filename", "language", "PHP", "comment", "blank", "total"
"/home/redwan/personal/coding/projects/osboha/certificates/backend/app/Repositories/book/BookRepository.php", "PHP", 9, 0, 6, 15
"/home/redwan/personal/coding/projects/osboha/certificates/backend/app/Repositories/book/BookService.php", "PHP", 8, 0, 3, 11
"/home/redwan/personal/coding/projects/osboha/certificates/backend/app/Repositories/book/interfaces/BooksServiceInterface.php", "PHP", 6, 0, 4, 10
"Total", "-", 23, 0, 13, 36
